Number,SnapId,Distance,Bad Matches,Total Matches,Confidence,FaceId,Top,Bottom,Left,Right,UserEstimate
6342,5c6c1c972e8a8d1486ec5065,0.12674593925476074,0,1,0.9931740760803223,844a3643-95ed-4f5e-892d-420e169c8d49,172,282,-3,107,undefined
6343,"5c6c1a612e8a8d1486ec4afa, 'New', 'New', 'New'",0.6061039566993713,786fe32b-5481-4475-b28a-25b53ad52bb3,214,443,307,536,undefined,,,
6344,5c6c1a442e8a8d1486ec4ac2,0.11966612190008163,0,3,0.8915466070175171,035f4ffa-3541-432b-b73d-d1b736f484ce,263,395,389,521,undefined
6345,5c6c195a2e8a8d1486ec4925,0.17911559343338013,0,1,0.9631466865539551,6d9cacce-ed20-47ea-bb3c-3c478002394b,251,442,203,393,undefined
6346,5c6c11312e8a8d1486ec3afd,0.18533165752887726,0,1,0.8924160003662109,6b46a1bc-c78c-447d-8d61-4572099a76ac,290,422,281,414,undefined
6347,5c6c0a252e8a8d1486ec2e43,0.13278821110725403,0,2,0.40170490741729736,a62667f7-aee1-4c3a-9716-8118e02926df,115,307,164,355,undefined
6348,5c6c09ed2e8a8d1486ec2dcc,0.11441279202699661,0,1,1.0101815462112427,a62667f7-aee1-4c3a-9716-8118e02926df,77,268,222,413,undefined
6349,5c6c09d82e8a8d1486ec2d83,0.159742534160614,0,1,0.5442291498184204,a62667f7-aee1-4c3a-9716-8118e02926df,98,257,273,433,undefined
6350,5c6bf1eb2e8a8d1486ebfd60,0.1610136181116104,0,3,0.6934307813644409,6356fd09-ec88-4d90-99e2-65f6a6e36c41,330,463,254,387,undefined
6351,"5c6be42c2e8a8d1486ebe4de, 'New', 'New', 'New'",1.0504677295684814,0221b769-a970-4588-82d4-4a8f4cfd2dae,211,370,241,401,undefined,,,
6352,"5c6be2692e8a8d1486ebe1ae, 'New', 'New', 'New'",0.7811601161956787,4edcb12d-da37-4596-873d-5185f886b6f6,270,461,222,413,undefined,,,
6353,"5c6bdc572e8a8d1486ebd62c, 'New', 'New', 'New'",1.067740559577942,2d314905-4e94-4bd8-977c-51f3f887395b,173,365,376,568,undefined,,,
